I_D,FLAG_TSUNAMI,YEAR,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS
5519,No,1999,6.6,INDIA,"INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL",30.512,79.403,60,100
5520,No,1999,6.8,PERU,"PERU:  CAMANA, AREQUIPA",-16.66,-72.662,160,1
5521,No,1999,6.2,IRAN,IRAN:  SOUTHERN:  FARS PROVINCE,29.501,51.88,140,26
5522,No,1999,5.4,AZERBAIJAN,"AZERBAIJAN:  AGDAS, UCAR, AGALI",40.802,47.448,40,1
5523,No,1999,7,MEXICO,"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",18.386,-97.436,150,20
5524,No,1999,6.3,MEXICO,MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO,18.324,-101.539,150,
5525,No,1999,6.7,GUATEMALA,GUATEMALA:  IZABAL-PUERTO BARRIOS; HONDURAS:  W,15.782,-88.33,100,2
5526,No,1999,4.2,BANGLADESH,"BANGLADESH:  MAHESHKHALI ISLAND, COX'S BAZAAR",21.544,91.895,60,6
5527,Yes,1999,7.6,TURKEY,"TURKEY:  ISTANBUL, KOCAELI, SAKARYA",40.76,29.97,140,17118
5530,No,1999,5.2,TURKEY,TURKEY:  IZMIT,40.711,29.949,140,1
5531,No,1999,6,GREECE,GREECE:  ATHENS,38.119,23.605,130,143
5533,No,1999,5.8,TURKEY,TURKEY:  ADAPAZARI-GOLUCK-KOCAELI,40.709,30.045,140,7
5535,No,1999,7.7,TAIWAN,"TAIWAN:  NANTOU, TAICHUNG, TAIZHONG",23.772,120.982,30,2297
5536,No,1999,6.5,TAIWAN,TAIWAN:  CENTRAL,23.738,121.158,30,
5537,No,1999,7.5,MEXICO,MEXICO:  OAXACA,16.059,-96.931,150,35
5538,No,1999,7.2,USA,"CALIFORNIA:  LUDLOW, LANDERS, TWENTYNINE PALMS",34.594,-116.271,150,
5539,No,1999,5.9,TAIWAN,TAIWAN:  CHIA-I,23.445,120.506,30,1
5540,No,1999,4.4,PERU,"PERU:  CHUSCHI, CANGALLo, HUANCAPI",-13.64,-74.43,160,
5541,No,1999,5.3,CHINA,CHINA:  SHANXI:  NORTHEASTERN,39.899,113.983,30,
